"country_id","region_id","subregion_id","date","today_confirmed","today_deaths","today_recovered","today_open_case","today_new_confirmed","today_new_deaths","today_new_recovered","today_new_open_case","yesterday_confirmed","yesterday_deaths","yesterday_recovered","yesterday_open_case"
afghanistan,afghanistan,afghanistan,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
afghanistan,afghanistan,afghanistan,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
albania,albania,albania,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
algeria,algeria,algeria,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
andorra,andorra,andorra,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
angola,angola,angola,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0
antigua_and_barbuda,antigua_and_barbuda,antigua_and_barbuda,"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0
argentina,argentina,argentina,"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0
